#Molecule	State	Excitation 			CASPT2a	CASPT2b	CC3	Best	BP86	B3LYP	BHLYP	DFT/MRCI
Ethene		1-3B1u	($\pi\rightarrow\pi^{*}$)	4.39	4.48	4.48	4.50	4.15	4.03	3.47	4.31
Butadiene	1-3Ag   ($\pi\rightarrow\pi^{*}$)       4.89	5.16	5.17	5.08	4.95	4.86	4.44	4.85
Butadiene	1-3Bu   ($\pi\rightarrow\pi^{*}$)       3.20	3.34	3.32	3.20	2.87	2.76	2.15	3.09
Hexatriene	1-3Ag   ($\pi\rightarrow\pi^{*}$)       4.12	4.31	4.32	4.15	3.98	3.92	3.50	3.96
Hexatriene	1-3Bu   ($\pi\rightarrow\pi^{*}$)       2.55	2.71	2.69	2.40	2.21	2.09	1.35	2.45
Octatetraene	1-3Ag   ($\pi\rightarrow\pi^{*}$)       3.39	3.70	3.67	3.55	3.30	3.24	2.80	3.32
Octatetraene	1-3Bu   ($\pi\rightarrow\pi^{*}$)       2.17	2.33	2.30	2.20	1.81	1.68	0.72	2.04
Cyclopropene	1-3B2   ($\pi\rightarrow\pi^{*}$)       4.18	4.35	4.34	4.34	3.74	3.70	3.25	4.03
Cyclopropene	1-3B1   ($\pi\rightarrow\pi^{*}$)       6.05	6.51	6.62	6.62	5.81	6.01	6.28	6.31
Cyclopentadiene	1-3A1   ($\pi\rightarrow\pi^{*}$)       4.90	5.11	5.09	5.09	4.82	4.75	4.38	4.78
Cyclopentadiene	1-3B2   ($\pi\rightarrow\pi^{*}$)       3.15	3.28	3.25	3.25	2.82	2.71	2.14	3.07
Norbornadiene	1-3A2   ($\pi\rightarrow\pi^{*}$)       3.42	3.75	3.72	3.72	3.11	3.08	2.63	3.42
Norbornadiene	1-3B2   ($\pi\rightarrow\pi^{*}$)       3.80	4.22	4.16	4.16	3.71	3.62	3.07	3.85
Benzene		1-3B2u  ($\pi\rightarrow\pi^{*}$)       3.89	4.17	4.12	4.15	3.93	3.77	3.08	4.13
Benzene		1-3B3u  ($\pi\rightarrow\pi^{*}$)       5.49	5.76	6.04	5.88	4.94	5.09	5.26	5.57
Benzene		1-3B3g  ($\pi\rightarrow\pi^{*}$)       4.49	4.90	4.90	4.86	4.60	4.70	4.79	4.69
Benzene		1-3Ag   ($\pi\rightarrow\pi^{*}$)       7.12	7.38	7.49	7.51	7.13	7.33	7.47	7.40
Naphthalene	1-3Ag   ($\pi\rightarrow\pi^{*}$)       5.27	5.53	5.52	5.52	5.25	5.33	5.31	5.18
Naphthalene	2-3Ag   ($\pi\rightarrow\pi^{*}$)       5.83	6.38	6.47	6.47	5.67	5.95	6.33	6.00
Naphthalene	3-3Ag   ($\pi\rightarrow\pi^{*}$)       5.91	6.59	6.79	6.79	5.59	6.07	6.58	6.31
Naphthalene	1-3B2u  ($\pi\rightarrow\pi^{*}$)       3.10	3.16	3.11	3.11	2.76	2.69	2.06	2.97
Naphthalene	2-3B2u  ($\pi\rightarrow\pi^{*}$)       4.30	4.68	4.64	4.64	4.31	4.40	4.45	4.49
Naphthalene	1-3B3u  ($\pi\rightarrow\pi^{*}$)       3.89	4.25	4.18	4.18	3.81	3.95	4.06	3.93
Naphthalene	2-3B3u  ($\pi\rightarrow\pi^{*}$)       4.45	4.97	5.11	5.11	4.03	4.22	4.42	4.65
Naphthalene	1-3B1g  ($\pi\rightarrow\pi^{*}$)       4.23	4.51	4.47	4.47	4.19	4.17	3.90	4.25
Naphthalene	2-3B1g  ($\pi\rightarrow\pi^{*}$)       5.71	6.21	6.48	6.48	5.00	5.55	6.39	6.02
Naphthalene	3-3B1g  ($\pi\rightarrow\pi^{*}$)       6.23	6.64	6.76	6.76	6.30	6.56	6.85	6.41
Furan		1-3A1   ($\pi\rightarrow\pi^{*}$)       5.15	5.49	5.48	5.48	5.24	5.21	4.67	5.15
Furan		1-3B2   ($\pi\rightarrow\pi^{*}$)       3.99	4.18	4.17	4.17	3.85	3.71	2.70	3.91
Pyrrole		1-3A1   ($\pi\rightarrow\pi^{*}$)       5.16	5.52	5.51	5.51	5.24	5.25	5.19	5.19
Pyrrole		1-3B2   ($\pi\rightarrow\pi^{*}$)       4.27	4.51	4.48	4.48	4.18	4.07	3.63	4.23
Imidazole	1-3A'   ($\pi\rightarrow\pi^{*}$)       4.49	4.65	4.69	4.69	4.33	4.24	3.82	4.41
Imidazole	2-3A'   ($\pi\rightarrow\pi^{*}$)       5.47	5.74	5.79	5.79	5.39	5.44	5.33	5.43
Imidazole	3-3A'   ($\pi\rightarrow\pi^{*}$)       6.53	6.44	6.55	6.55	5.92	5.95	5.99	6.22
Imidazole	4-3A'   ($\pi\rightarrow\pi^{*}$)       7.08	7.44	7.42	-	6.76	6.93	7.21	7.14
Imidazole	1-3A"   ($\pi\rightarrow\pi^{*}$)       6.07	6.36	6.37	6.37	5.53	5.83	6.12	5.92
Imidazole	2-3A"   ($\pi\rightarrow\pi^{*}$)       7.15	7.51	7.51	-	6.35	6.86	7.81	7.32
Pyridine	1-3A1   ($\pi\rightarrow\pi^{*}$)       4.05	4.27	4.25	4.06	4.05	3.89	3.14	4.25
Pyridine	2-3A1   ($\pi\rightarrow\pi^{*}$)       4.73	5.03	5.05	4.91	4.78	4.84	4.89	4.84
Pyridine	3-3A1   ($\pi\rightarrow\pi^{*}$)       7.34	7.56	7.66	-	7.29	7.44	7.51	7.21
Pyridine	1-3B2   ($\pi\rightarrow\pi^{*}$)       4.56	4.71	4.86	4.64	4.42	4.51	4.57	4.60
Pyridine	2-3B2   ($\pi\rightarrow\pi^{*}$)       6.02	6.03	6.40	6.08	5.46	5.64	5.84	5.97
Pyridine	3-3B2   ($\pi\rightarrow\pi^{*}$)       7.28	7.87	7.83	-	7.54	7.75	7.93	7.52
Pyridine	1-3B1   ($\pi\rightarrow\pi^{*}$)       4.41	4.57	4.50	4.25	3.71	4.04	4.39	4.31
Pyridine	1-3A2   ($\pi\rightarrow\pi^{*}$)       5.10	5.52	5.46	5.28	4.34	4.98	5.85	5.33
